x	y	fast_likelihood_quarks.yaml	custom_beta	global
-1.6555102040816327	0.5518367346938775	-49.29784347710108	-37.44039597483936	-49.29784347710108
-1.6555102040816327	0.6367346938775511	-64.57747458848507	-50.847155378364164	-64.57747458848507
-1.6555102040816327	0.7216326530612247	-82.58646224576694	-66.31120215507065	-82.58646224576694
-1.6555102040816327	0.8065306122448979	-103.31167767099964	-83.83898901812142	-103.31167767099964
-1.6555102040816327	0.8914285714285715	-126.74234833370639	-103.43698747109352	-126.74234833370639
-1.6555102040816327	0.9763265306122451	-152.8680101477501	-125.11168786588746	-152.8680101477501
-1.6555102040816327	1.0612244897959187	-181.71979883369073	-148.8695994606611	-181.71979883369073
-1.6555102040816327	1.1461224489795918	-213.26143959756473	-174.71725047814334	-213.26143959756473
-1.6555102040816327	1.2310204081632654	-247.41401853498928	-202.66118816391884	-247.41401853498928
-1.6555102040816327	1.315918367346939	-284.41822996498206	-232.70797884516867	-284.41822996498206
-1.6555102040816327	1.4008163265306122	-324.2043591665547	-264.8642079894063	-324.2043591665547
-1.6555102040816327	1.4857142857142858	-366.8173392667982	-299.1364802635168	-366.8173392667982
-1.6555102040816327	1.5706122448979594	-412.3581141060838	-335.5314195929253	-412.3581141060838
-1.6555102040816327	1.655510204081633	-460.8338677641725	-374.0556692209906	-460.8338677641725
-1.6555102040816327	1.7404081632653061	-512.3479001331083	-414.71589176853206	-512.3479001331083
-1.6555102040816327	1.8253061224489797	-567.0410561636533	-457.51876929390085	-567.0410561636533
-1.6555102040816327	1.9102040816326533	-625.0085964012	-502.4710033525911	-625.0085964012
-1.6555102040816327	1.9951020408163265	-686.3756582541743	-549.5793150577696	-686.3756582541743
-1.6555102040816327	2.08	-751.2691570645385	-598.8504451404273	-751.2691570645385
-1.5706122448979594	-2.08	-1092.373883112553	-607.8906636642149	-1092.373883112553
-1.5706122448979594	-1.9951020408163267	-1006.5644537953457	-560.6222654531088	-1006.5644537953457
-1.5706122448979594	-1.910204081632653	-924.691720431544	-515.2201309379233	-924.691720431544
-1.5706122448979594	-1.8253061224489797	-846.6987311195757	-471.69015797679265	-846.6987311195757
-1.5706122448979594	-1.7404081632653061	-772.5325409962339	-430.0382615174284	-772.5325409962339
