BR(B->Knunu)	BR(tau->mununu)	BR(K->pinunu)	BR(B->mumu)	BR(Bs->mumu)	RK*	RD*	logL
6.167872230005611e-06	0.17282980866295744	9.784027653110581e-11	1.1425804460811776e-10	3.6783655965071213e-09	0.9857119266599839	0.36183195312205263	21.574068
5.587735457219678e-06	0.17287464096862953	7.086902467086509e-11	1.1426918557180292e-10	3.675933179948661e-09	0.9867203436870317	0.3419327048218556	19.108385
5.889501797532595e-06	0.17283768297533442	7.086917634819774e-11	1.143117305054296e-10	3.684473238955138e-09	0.9980838933942102	0.35309645600871403	21.995874
5.483255319386458e-06	0.172844283892808	7.265808118808131e-11	1.1455665745864609e-10	3.797764063644872e-09	1.0207812911124046	0.33915454175991455	19.123976
6.312906436009784e-06	0.17275947109241616	2.2692596787216178e-10	1.1434633793265078e-10	3.674286687077788e-09	0.9841499753093976	0.36991767031055434	21.776394
5.615375957332563e-06	0.17284116173067496	9.696806758527147e-11	1.1428146239103177e-10	3.670866547708926e-09	0.9561658800440835	0.34411750837990984	22.63507
5.813850453321718e-06	0.1727019025918506	8.278203543822514e-11	1.1427868992423445e-10	3.6768648337792462e-09	0.9297028338974868	0.3538893495032294	20.24493
5.200610030305029e-06	0.1728078115378181	6.967219315478681e-11	1.1428739929616855e-10	3.670101515093563e-09	0.933609157567133	0.3306142100620698	19.091034
5.927570214351272e-06	0.17283989199472755	8.161524923711837e-11	1.1428399069129165e-10	3.673752320315131e-09	0.9810666235569039	0.35433780707513995	22.378298
6.64079786763476e-06	0.172787883295992	1.1473040892602615e-10	1.1403459634903338e-10	3.920051661928252e-09	1.0359205805883225	0.3771343984644554	17.317947
6.889241499922938e-06	0.17284712747936642	1.0334329963130507e-10	1.1431945998235585e-10	3.695812685792992e-09	0.9904134485188771	0.38356907515329125	19.89559
5.706079717355293e-06	0.17276909565596832	1.3575547498615916e-10	1.143148560558388e-10	3.670938872112795e-09	0.9946129159325837	0.3500793317847472	22.065363
5.710249104218292e-06	0.1728375984718727	7.06703786049568e-11	1.1429882511915817e-10	3.678024751901805e-09	0.9512277751045332	0.34712756618438917	21.906187
5.930731967063637e-06	0.17280797654091323	1.3474996600415334e-10	1.1425089861550694e-10	3.6718323799271647e-09	0.9452092900006888	0.3545362327951293	21.82869
6.076574888602239e-06	0.17276206855531998	1.7099196966709908e-10	1.1422546006525573e-10	3.6749904863415984e-09	0.9969149271794225	0.36025039513623147	20.249693
5.2088764918794605e-06	0.17284620718445107	7.746795225987898e-11	1.1427425458256486e-10	3.673568606901207e-09	0.996930786957026	0.3295837080813314	17.89526
